Date_reported,Country_code,Country,Continent,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,AF,Afghanistan,Asia,EMRO,,0,,0
2020-01-12,AF,Afghanistan,Asia,EMRO,,0,,0
2020-01-19,AF,Afghanistan,Asia,EMRO,,0,,0
2020-01-26,AF,Afghanistan,Asia,EMRO,,0,,0
2020-02-02,AF,Afghanistan,Asia,EMRO,,0,,0
2020-02-09,AF,Afghanistan,Asia,EMRO,,0,,0
2020-02-16,AF,Afghanistan,Asia,EMRO,,0,,0
2020-02-23,AF,Afghanistan,Asia,EMRO,,0,,0
2020-03-01,AF,Afghanistan,Asia,EMRO,1.0,1,,0
2020-03-08,AF,Afghanistan,Asia,EMRO,,1,,0
2020-03-15,AF,Afghanistan,Asia,EMRO,6.0,7,,0
2020-03-22,AF,Afghanistan,Asia,EMRO,17.0,24,,0
2020-03-29,AF,Afghanistan,Asia,EMRO,67.0,91,2.0,2
2020-04-05,AF,Afghanistan,Asia,EMRO,183.0,274,3.0,5
2020-04-12,AF,Afghanistan,Asia,EMRO,247.0,521,10.0,15
2020-04-19,AF,Afghanistan,Asia,EMRO,387.0,908,15.0,30
2020-04-26,AF,Afghanistan,Asia,EMRO,422.0,1330,13.0,43
2020-05-03,AF,Afghanistan,Asia,EMRO,841.0,2171,21.0,64
2020-05-10,AF,Afghanistan,Asia,EMRO,1392.0,3563,41.0,105
2020-05-17,AF,Afghanistan,Asia,EMRO,2490.0,6053,48.0,153
2020-05-24,AF,Afghanistan,Asia,EMRO,3813.0,9866,58.0,211
2020-05-31,AF,Afghanistan,Asia,EMRO,4577.0,14443,37.0,248
2020-06-07,AF,Afghanistan,Asia,EMRO,5108.0,19551,79.0,327
2020-06-14,AF,Afghanistan,Asia,EMRO,4551.0,24102,124.0,451
2020-06-21,AF,Afghanistan,Asia,EMRO,4195.0,28297,97.0,548
2020-06-28,AF,Afghanistan,Asia,EMRO,2319.0,30616,155.0,703
2020-07-05,AF,Afghanistan,Asia,EMRO,2056.0,32672,123.0,826
2020-07-12,AF,Afghanistan,Asia,EMRO,1679.0,34351,149.0,975
2020-07-19,AF,Afghanistan,Asia,EMRO,938.0,35289,172.0,1147
2020-07-26,AF,Afghanistan,Asia,EMRO,747.0,36036,99.0,1246
2020-08-02,AF,Afghanistan,Asia,EMRO,674.0,36710,37.0,1283
2020-08-09,AF,Afghanistan,Asia,EMRO,305.0,37015,24.0,1307
2020-08-16,AF,Afghanistan,Asia,EMRO,536.0,37551,63.0,1370
2020-08-23,AF,Afghanistan,Asia,EMRO,343.0,37894,15.0,1385
2020-08-30,AF,Afghanistan,Asia,EMRO,249.0,38143,17.0,1402
2020-09-06,AF,Afghanistan,Asia,EMRO,161.0,38304,7.0,1409
2020-09-13,AF,Afghanistan,Asia,EMRO,337.0,38641,11.0,1420
2020-09-20,AF,Afghanistan,Asia,EMRO,278.0,38919,17.0,1437
2020-09-27,AF,Afghanistan,Asia,EMRO,273.0,39192,16.0,1453
2020-10-04,AF,Afghanistan,Asia,EMRO,105.0,39297,9.0,1462
2020-10-11,AF,Afghanistan,Asia,EMRO,406.0,39703,11.0,1473
2020-10-18,AF,Afghanistan,Asia,EMRO,438.0,40141,15.0,1488
2020-10-25,AF,Afghanistan,Asia,EMRO,627.0,40768,23.0,1511
2020-11-01,AF,Afghanistan,Asia,EMRO,657.0,41425,25.0,1536
2020-11-08,AF,Afghanistan,Asia,EMRO,608.0,42033,20.0,1556
2020-11-15,AF,Afghanistan,Asia,EMRO,1002.0,43035,49.0,1605
2020-11-22,AF,Afghanistan,Asia,EMRO,1468.0,44503,70.0,1675
2020-11-29,AF,Afghanistan,Asia,EMRO,1463.0,45966,77.0,1752
2020-12-06,AF,Afghanistan,Asia,EMRO,1675.0,47641,113.0,1865
2020-12-13,AF,Afghanistan,Asia,EMRO,1311.0,48952,95.0,1960
2020-12-20,AF,Afghanistan,Asia,EMRO,1584.0,50536,94.0,2054
2020-12-27,AF,Afghanistan,Asia,EMRO,1312.0,51848,104.0,2158
2021-01-03,AF,Afghanistan,Asia,EMRO,861.0,52709,63.0,2221
2021-01-10,AF,Afghanistan,Asia,EMRO,780.0,53489,56.0,2277
2021-01-17,AF,Afghanistan,Asia,EMRO,495.0,53984,62.0,2339
2021-01-24,AF,Afghanistan,Asia,EMRO,611.0,54595,39.0,2378
2021-01-31,AF,Afghanistan,Asia,EMRO,428.0,55023,22.0,2400
2021-02-07,AF,Afghanistan,Asia,EMRO,312.0,55335,10.0,2410
2021-02-14,AF,Afghanistan,Asia,EMRO,157.0,55492,17.0,2427
2021-02-21,AF,Afghanistan,Asia,EMRO,112.0,55604,5.0,2432
2021-02-28,AF,Afghanistan,Asia,EMRO,110.0,55714,11.0,2443
2021-03-07,AF,Afghanistan,Asia,EMRO,133.0,55847,6.0,2449
2021-03-14,AF,Afghanistan,Asia,EMRO,138.0,55985,8.0,2457
2021-03-21,AF,Afghanistan,Asia,EMRO,118.0,56103,6.0,2463
2021-03-28,AF,Afghanistan,Asia,EMRO,191.0,56294,7.0,2470
2021-04-04,AF,Afghanistan,Asia,EMRO,382.0,56676,27.0,2497
2021-04-11,AF,Afghanistan,Asia,EMRO,484.0,57160,24.0,2521
2021-04-18,AF,Afghanistan,Asia,EMRO,633.0,57793,18.0,2539
2021-04-25,AF,Afghanistan,Asia,EMRO,1050.0,58843,43.0,2582
2021-05-02,AF,Afghanistan,Asia,EMRO,1279.0,60122,55.0,2637
2021-05-09,AF,Afghanistan,Asia,EMRO,1720.0,61842,49.0,2686
2021-05-16,AF,Afghanistan,Asia,EMRO,1642.0,63484,56.0,2742
2021-05-23,AF,Afghanistan,Asia,EMRO,2244.0,65728,60.0,2802
2021-05-30,AF,Afghanistan,Asia,EMRO,5033.0,70761,117.0,2919
2021-06-06,AF,Afghanistan,Asia,EMRO,8463.0,79224,226.0,3145
2021-06-13,AF,Afghanistan,Asia,EMRO,10637.0,89861,382.0,3527
2021-06-20,AF,Afghanistan,Asia,EMRO,12045.0,101906,595.0,4122
2021-06-27,AF,Afghanistan,Asia,EMRO,12314.0,114220,528.0,4650
2021-07-04,AF,Afghanistan,Asia,EMRO,10528.0,124748,549.0,5199
2021-07-11,AF,Afghanistan,Asia,EMRO,8830.0,133578,525.0,5724
2021-07-18,AF,Afghanistan,Asia,EMRO,7024.0,140602,423.0,6147
2021-07-25,AF,Afghanistan,Asia,EMRO,3269.0,143871,278.0,6425
2021-08-01,AF,Afghanistan,Asia,EMRO,3630.0,147501,312.0,6737
2021-08-08,AF,Afghanistan,Asia,EMRO,2957.0,150458,171.0,6908
2021-08-15,AF,Afghanistan,Asia,EMRO,1575.0,152033,113.0,7021
2021-08-22,AF,Afghanistan,Asia,EMRO,478.0,152511,49.0,7070
2021-08-29,AF,Afghanistan,Asia,EMRO,522.0,153033,39.0,7109
2021-09-05,AF,Afghanistan,Asia,EMRO,390.0,153423,23.0,7132
2021-09-12,AF,Afghanistan,Asia,EMRO,567.0,153990,35.0,7167
2021-09-19,AF,Afghanistan,Asia,EMRO,549.0,154539,32.0,7199
2021-09-26,AF,Afghanistan,Asia,EMRO,360.0,154899,,7199
2021-10-03,AF,Afghanistan,Asia,EMRO,242.0,155141,13.0,7212
2021-10-10,AF,Afghanistan,Asia,EMRO,203.0,155344,9.0,7221
2021-10-17,AF,Afghanistan,Asia,EMRO,273.0,155617,17.0,7238
2021-10-24,AF,Afghanistan,Asia,EMRO,201.0,155818,15.0,7253
2021-10-31,AF,Afghanistan,Asia,EMRO,270.0,156088,19.0,7272
2021-11-07,AF,Afghanistan,Asia,EMRO,187.0,156275,12.0,7284
2021-11-14,AF,Afghanistan,Asia,EMRO,237.0,156512,8.0,7292
2021-11-21,AF,Afghanistan,Asia,EMRO,352.0,156864,9.0,7301
2021-11-28,AF,Afghanistan,Asia,EMRO,326.0,157190,7.0,7308
2021-12-05,AF,Afghanistan,Asia,EMRO,241.0,157431,4.0,7312
2021-12-12,AF,Afghanistan,Asia,EMRO,180.0,157611,13.0,7325
2021-12-19,AF,Afghanistan,Asia,EMRO,134.0,157745,8.0,7333
2021-12-26,AF,Afghanistan,Asia,EMRO,157.0,157902,19.0,7352
2022-01-02,AF,Afghanistan,Asia,EMRO,210.0,158112,4.0,7356
2022-01-09,AF,Afghanistan,Asia,EMRO,233.0,158345,13.0,7369
2022-01-16,AF,Afghanistan,Asia,EMRO,333.0,158678,9.0,7378
2022-01-23,AF,Afghanistan,Asia,EMRO,870.0,159548,12.0,7390
2022-01-30,AF,Afghanistan,Asia,EMRO,2118.0,161666,17.0,7407
2022-02-06,AF,Afghanistan,Asia,EMRO,4046.0,165712,18.0,7425
2022-02-13,AF,Afghanistan,Asia,EMRO,4440.0,170152,63.0,7488
2022-02-20,AF,Afghanistan,Asia,EMRO,1778.0,171930,46.0,7534
2022-02-27,AF,Afghanistan,Asia,EMRO,1250.0,173180,54.0,7588
2022-03-06,AF,Afghanistan,Asia,EMRO,1167.0,174347,34.0,7622
2022-03-13,AF,Afghanistan,Asia,EMRO,1715.0,176062,20.0,7642
2022-03-20,AF,Afghanistan,Asia,EMRO,977.0,177039,10.0,7652
2022-03-27,AF,Afghanistan,Asia,EMRO,435.0,177474,8.0,7660
2022-04-03,AF,Afghanistan,Asia,EMRO,331.0,177805,11.0,7671
2022-04-10,AF,Afghanistan,Asia,EMRO,285.0,178090,4.0,7675
2022-04-17,AF,Afghanistan,Asia,EMRO,297.0,178387,1.0,7676
2022-04-24,AF,Afghanistan,Asia,EMRO,261.0,178648,5.0,7681
2022-05-01,AF,Afghanistan,Asia,EMRO,231.0,178879,2.0,7683
2022-05-08,AF,Afghanistan,Asia,EMRO,44.0,178923,1.0,7684
2022-05-15,AF,Afghanistan,Asia,EMRO,320.0,179243,6.0,7690
2022-05-22,AF,Afghanistan,Asia,EMRO,431.0,179674,7.0,7697
2022-05-29,AF,Afghanistan,Asia,EMRO,449.0,180123,4.0,7701
2022-06-05,AF,Afghanistan,Asia,EMRO,495.0,180618,8.0,7709
2022-06-12,AF,Afghanistan,Asia,EMRO,415.0,181033,,7709
2022-06-19,AF,Afghanistan,Asia,EMRO,541.0,181574,4.0,7713
2022-06-26,AF,Afghanistan,Asia,EMRO,498.0,182072,4.0,7717
2022-07-03,AF,Afghanistan,Asia,EMRO,571.0,182643,7.0,7724
2022-07-10,AF,Afghanistan,Asia,EMRO,576.0,183219,3.0,7727
2022-07-17,AF,Afghanistan,Asia,EMRO,231.0,183450,3.0,7730
2022-07-24,AF,Afghanistan,Asia,EMRO,1024.0,184474,8.0,7738
